# delta neff CL
0.405 -2.32267 0.00011941
0.405 -2.32 0.000121706
0.405 -2.31733 0.000175899
0.405 -2.31467 9.63041e-05
0.405 -2.312 3.50723e-05
0.405 -2.30933 3.74047e-06
0.405 -2.30667 2.29002e-06
0.405 -2.304 2.34034e-07
0.405 -2.30133 1.84971e-08
0.411 -2.37867 0
0.411 -2.376 0
0.411 -2.37333 0
0.411 -2.37067 0
0.411 -2.368 0
0.411 -2.36533 0
0.411 -2.36267 0
0.411 -2.36 0
0.411 -2.35733 0
0.411 -2.35467 0
0.411 -2.352 0
0.411 -2.34933 0
0.411 -2.34667 0
0.411 -2.344 0
0.411 -2.34133 0
0.411 -2.33867 0
0.411 -2.336 0
0.411 -2.33333 0
0.411 -2.33067 0
0.411 -2.328 1.97689e-05
0.411 -2.32533 3.22385e-05
0.411 -2.32267 3.7651e-05
0.411 -2.32 6.33333e-05
0.411 -2.31733 6.79764e-05
0.411 -2.31467 3.55347e-05
0.411 -2.312 1.42914e-05
0.411 -2.30933 8.59655e-06
0.411 -2.30667 1.42969e-06
0.411 -2.304 1.62222e-07
0.411 -2.30133 2.77255e-09
0.417 -2.37867 0
0.417 -2.376 0
0.417 -2.37333 0
0.417 -2.37067 0
0.417 -2.368 0
0.417 -2.36533 0
0.417 -2.36267 0
0.417 -2.36 0
0.417 -2.35733 0
0.417 -2.35467 0
0.417 -2.352 0
0.417 -2.34933 0
0.417 -2.34667 0
0.417 -2.344 0
0.417 -2.34133 0
0.417 -2.33867 0
0.417 -2.336 0
0.417 -2.33333 0
0.417 -2.33067 0
0.417 -2.328 0
0.417 -2.32533 0
0.417 -2.32267 0
0.417 -2.32 0
0.417 -2.31733 1.7419e-05
0.417 -2.31467 6.39177e-06
0.417 -2.312 1.59028e-06
0.417 -2.30933 3.87719e-06
0.417 -2.30667 7.16061e-07
0.417 -2.304 9.06282e-08
0.417 -2.30133 1.30445e-08
